Criterion,Max Depth,Min Samples Split,Min Samples Leaf,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
gini,20,10,2,,0.5647461494580719,0.3719165085388994,0.31210191082802546,794,331,432,196
gini,20,10,2,balanced,0.5059897318881916,0.3576555023923445,0.47611464968152867,588,537,329,299
gini,20,10,4,,0.5693097547062179,0.3799621928166352,0.3200636942675159,797,328,427,201
gini,20,10,4,balanced,0.5082715345122647,0.3597122302158273,0.47770700636942676,591,534,328,300
entropy,,2,1,,0.5350827153451226,0.34894991922455576,0.34394904458598724,722,403,412,216
entropy,,2,1,balanced,0.5333713633770679,0.3501577287066246,0.3535031847133758,713,412,406,222
entropy,,2,2,,0.5521962350256703,0.36106194690265486,0.3248407643312102,764,361,424,204
entropy,,2,2,balanced,0.5202509982886481,0.3472022955523673,0.3853503184713376,670,455,386,242
entropy,,2,4,,0.553907586993725,0.36678200692041524,0.3375796178343949,759,366,416,212
entropy,,2,4,balanced,0.5088419851682829,0.3456953642384106,0.4156050955414013,631,494,367,261
entropy,,5,1,,0.5373645179691957,0.35218093699515346,0.3471337579617834,724,401,410,218
entropy,,5,1,balanced,0.5362236166571591,0.35877862595419846,0.37420382165605093,705,420,393,235
entropy,,5,2,,0.5436394751853965,0.35374149659863946,0.33121019108280253,745,380,420,208
entropy,,5,2,balanced,0.5288077581289219,0.3573487031700288,0.39490445859872614,679,446,380,248
entropy,,5,4,,0.553907586993725,0.36678200692041524,0.3375796178343949,759,366,416,212
entropy,,5,4,balanced,0.5088419851682829,0.3456953642384106,0.4156050955414013,631,494,367,261
entropy,,10,1,,0.5339418140330862,0.34831460674157305,0.34554140127388533,719,406,411,217
entropy,,10,1,balanced,0.5310895607529948,0.3622159090909091,0.40605095541401276,676,449,373,255
entropy,,10,2,,0.5322304620650313,0.3361774744027304,0.31369426751592355,736,389,431,197
entropy,,10,2,balanced,0.5339418140330862,0.36746143057503505,0.4171974522292994,674,451,366,262
entropy,,10,4,,0.5544780376497433,0.36923076923076925,0.34394904458598724,756,369,412,216
entropy,,10,4,balanced,0.5025670279520822,0.3386243386243386,0.40764331210191085,625,500,372,256
entropy,5,2,1,,0.6406160867084997,0.0,0.0,1123,2,628,0
entropy,5,2,1,balanced,0.4107244723331432,0.34988880652335064,0.7515923566878981,248,877,156,472
entropy,5,2,2,,0.6411865373645179,0.0,0.0,1124,1,628,0
entropy,5,2,2,balanced,0.4107244723331432,0.34988880652335064,0.7515923566878981,248,877,156,472
entropy,5,2,4,,0.6411865373645179,0.0,0.0,1124,1,628,0
entropy,5,2,4,balanced,0.4112949229891614,0.35014836795252224,0.7515923566878981,249,876,156,472
entropy,5,5,1,,0.6406160867084997,0.0,0.0,1123,2,628,0
entropy,5,5,1,balanced,0.4107244723331432,0.34988880652335064,0.7515923566878981,248,877,156,472
entropy,5,5,2,,0.6411865373645179,0.0,0.0,1124,1,628,0
entropy,5,5,2,balanced,0.4107244723331432,0.34988880652335064,0.7515923566878981,248,877,156,472
entropy,5,5,4,,0.6411865373645179,0.0,0.0,1124,1,628,0
entropy,5,5,4,balanced,0.4112949229891614,0.35014836795252224,0.7515923566878981,249,876,156,472
entropy,5,10,1,,0.6406160867084997,0.0,0.0,1123,2,628,0
entropy,5,10,1,balanced,0.4107244723331432,0.34988880652335064,0.7515923566878981,248,877,156,472
entropy,5,10,2,,0.6411865373645179,0.0,0.0,1124,1,628,0
entropy,5,10,2,balanced,0.4107244723331432,0.34988880652335064,0.7515923566878981,248,877,156,472
entropy,5,10,4,,0.6411865373645179,0.0,0.0,1124,1,628,0
entropy,5,10,4,balanced,0.4112949229891614,0.35014836795252224,0.7515923566878981,249,876,156,472
entropy,10,2,1,,0.6280661722760981,0.375,0.05732484076433121,1065,60,592,36
entropy,10,2,1,balanced,0.4306902452937821,0.35176282051282054,0.6990445859872612,316,809,189,439
entropy,10,2,2,,0.6257843696520251,0.3409090909090909,0.04777070063694268,1067,58,598,30
entropy,10,2,2,balanced,0.43011979463776384,0.35195530726256985,0.7022292993630573,313,812,187,441
entropy,10,2,4,,0.6269252709640616,0.3488372093023256,0.04777070063694268,1069,56,598,30
entropy,10,2,4,balanced,0.5687393040501997,0.36721991701244816,0.2818471337579618,820,305,451,177
entropy,10,5,1,,0.6263548203080433,0.3548387096774194,0.052547770700636945,1065,60,595,33
entropy,10,5,1,balanced,0.4318311466058186,0.35303514376996803,0.7038216560509554,315,810,186,442
entropy,10,5,2,,0.6269252709640616,0.3522727272727273,0.04936305732484077,1068,57,597,31
entropy,10,5,2,balanced,0.4278379920136908,0.350597609561753,0.7006369426751592,310,815,188,440
entropy,10,5,4,,0.6269252709640616,0.3488372093023256,0.04777070063694268,1069,56,598,30
entropy,10,5,4,balanced,0.5687393040501997,0.36721991701244816,0.2818471337579618,820,305,451,177
entropy,10,10,1,,0.6263548203080433,0.3516483516483517,0.050955414012738856,1066,59,596,32
entropy,10,10,1,balanced,0.4312606959498003,0.35275339185953714,0.7038216560509554,314,811,186,442
entropy,10,10,2,,0.6263548203080433,0.3448275862068966,0.04777070063694268,1068,57,598,30
entropy,10,10,2,balanced,0.4289788933257273,0.35115722266560256,0.7006369426751592,312,813,188,440
entropy,10,10,4,,0.6280661722760981,0.36046511627906974,0.04936305732484077,1070,55,597,31
entropy,10,10,4,balanced,0.5693097547062179,0.3674321503131524,0.2802547770700637,822,303,452,176
entropy,20,2,1,,0.5824301197946378,0.3375,0.17197452229299362,913,212,520,108
entropy,20,2,1,balanced,0.5293782087849401,0.3863898500576701,0.5334394904458599,593,532,293,335
entropy,20,2,2,,0.5898459783228751,0.34146341463414637,0.15605095541401273,936,189,530,98
entropy,20,2,2,balanced,0.5276668568168853,0.3866213151927438,0.5429936305732485,584,541,287,341
entropy,20,2,4,,0.5955504848830576,0.3839541547277937,0.21337579617834396,910,215,494,134
entropy,20,2,4,balanced,0.5031374786081004,0.35986159169550175,0.4968152866242038,570,555,316,312
entropy,20,5,1,,0.583000570450656,0.33650793650793653,0.16878980891719744,916,209,522,106
entropy,20,5,1,balanced,0.5356531660011409,0.39135514018691586,0.5334394904458599,604,521,293,335
entropy,20,5,2,,0.5881346263548203,0.339041095890411,0.15764331210191082,932,193,529,99
entropy,20,5,2,balanced,0.5253850541928123,0.3843537414965986,0.5398089171974523,582,543,289,339
entropy,20,5,4,,0.5955504848830576,0.3839541547277937,0.21337579617834396,910,215,494,134
entropy,20,5,4,balanced,0.5031374786081004,0.35986159169550175,0.4968152866242038,570,555,316,312
entropy,20,10,1,,0.587564175698802,0.33676975945017185,0.15605095541401273,932,193,530,98
entropy,20,10,1,balanced,0.5282373074729035,0.3870601589103292,0.5429936305732485,585,540,287,341
entropy,20,10,2,,0.5909868796349116,0.34050179211469533,0.15127388535031847,941,184,533,95
entropy,20,10,2,balanced,0.5265259555048488,0.3854875283446712,0.5414012738853503,583,542,288,340
entropy,20,10,4,,0.5972618368511123,0.3879310344827586,0.21496815286624205,912,213,493,135
entropy,20,10,4,balanced,0.5048488305761551,0.3620689655172414,0.5015923566878981,570,555,313,315
