Criterion,Max Depth,Min Samples Split,Min Samples Leaf,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
gini,,2,1,,0.7049180327868853,0.7027027027027027,0.7878787878787878,17,11,7,26
gini,,2,1,balanced,0.7213114754098361,0.75,0.7272727272727273,20,8,9,24
gini,,2,2,,0.819672131147541,0.8055555555555556,0.8787878787878788,21,7,4,29
gini,,2,2,balanced,0.819672131147541,0.8235294117647058,0.8484848484848485,22,6,5,28
gini,,2,4,,0.7868852459016393,0.7777777777777778,0.8484848484848485,20,8,5,28
gini,,2,4,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
gini,,5,1,,0.6885245901639344,0.7058823529411765,0.7272727272727273,18,10,9,24
gini,,5,1,balanced,0.639344262295082,0.6896551724137931,0.6060606060606061,19,9,13,20
gini,,5,2,,0.8032786885245902,0.8,0.8484848484848485,21,7,5,28
gini,,5,2,balanced,0.7704918032786885,0.8064516129032258,0.7575757575757576,22,6,8,25
gini,,5,4,,0.7868852459016393,0.7777777777777778,0.8484848484848485,20,8,5,28
gini,,5,4,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
gini,,10,1,,0.7540983606557377,0.75,0.8181818181818182,19,9,6,27
gini,,10,1,balanced,0.7213114754098361,0.7222222222222222,0.7878787878787878,18,10,7,26
gini,,10,2,,0.7868852459016393,0.7941176470588235,0.8181818181818182,21,7,6,27
gini,,10,2,balanced,0.7540983606557377,0.7647058823529411,0.7878787878787878,20,8,7,26
gini,,10,4,,0.7704918032786885,0.7714285714285715,0.8181818181818182,20,8,6,27
gini,,10,4,balanced,0.7868852459016393,0.7631578947368421,0.8787878787878788,19,9,4,29
gini,5,2,1,,0.7868852459016393,0.75,0.9090909090909091,18,10,3,30
gini,5,2,1,balanced,0.7377049180327869,0.7575757575757576,0.7575757575757576,20,8,8,25
gini,5,2,2,,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
gini,5,2,2,balanced,0.8032786885245902,0.8181818181818182,0.8181818181818182,22,6,6,27
gini,5,2,4,,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
gini,5,2,4,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
gini,5,5,1,,0.7868852459016393,0.75,0.9090909090909091,18,10,3,30
gini,5,5,1,balanced,0.7377049180327869,0.7575757575757576,0.7575757575757576,20,8,8,25
gini,5,5,2,,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
gini,5,5,2,balanced,0.8032786885245902,0.8181818181818182,0.8181818181818182,22,6,6,27
gini,5,5,4,,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
gini,5,5,4,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
gini,5,10,1,,0.7540983606557377,0.7368421052631579,0.8484848484848485,18,10,5,28
gini,5,10,1,balanced,0.7049180327868853,0.7142857142857143,0.7575757575757576,18,10,8,25
gini,5,10,2,,0.7868852459016393,0.7777777777777778,0.8484848484848485,20,8,5,28
gini,5,10,2,balanced,0.7704918032786885,0.7714285714285715,0.8181818181818182,20,8,6,27
gini,5,10,4,,0.7868852459016393,0.7631578947368421,0.8787878787878788,19,9,4,29
gini,5,10,4,balanced,0.7868852459016393,0.7631578947368421,0.8787878787878788,19,9,4,29
gini,10,2,1,,0.7049180327868853,0.7027027027027027,0.7878787878787878,17,11,7,26
gini,10,2,1,balanced,0.7213114754098361,0.75,0.7272727272727273,20,8,9,24
gini,10,2,2,,0.819672131147541,0.8055555555555556,0.8787878787878788,21,7,4,29
gini,10,2,2,balanced,0.819672131147541,0.8235294117647058,0.8484848484848485,22,6,5,28
gini,10,2,4,,0.7868852459016393,0.7777777777777778,0.8484848484848485,20,8,5,28
gini,10,2,4,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
gini,10,5,1,,0.6885245901639344,0.7058823529411765,0.7272727272727273,18,10,9,24
gini,10,5,1,balanced,0.639344262295082,0.6896551724137931,0.6060606060606061,19,9,13,20
gini,10,5,2,,0.8032786885245902,0.8,0.8484848484848485,21,7,5,28
gini,10,5,2,balanced,0.7704918032786885,0.8064516129032258,0.7575757575757576,22,6,8,25
gini,10,5,4,,0.7868852459016393,0.7777777777777778,0.8484848484848485,20,8,5,28
gini,10,5,4,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
gini,10,10,1,,0.7540983606557377,0.75,0.8181818181818182,19,9,6,27
gini,10,10,1,balanced,0.7213114754098361,0.7222222222222222,0.7878787878787878,18,10,7,26
gini,10,10,2,,0.7868852459016393,0.7941176470588235,0.8181818181818182,21,7,6,27
gini,10,10,2,balanced,0.7540983606557377,0.7647058823529411,0.7878787878787878,20,8,7,26
gini,10,10,4,,0.7704918032786885,0.7714285714285715,0.8181818181818182,20,8,6,27
gini,10,10,4,balanced,0.7868852459016393,0.7631578947368421,0.8787878787878788,19,9,4,29
gini,20,2,1,,0.7049180327868853,0.7027027027027027,0.7878787878787878,17,11,7,26
gini,20,2,1,balanced,0.7213114754098361,0.75,0.7272727272727273,20,8,9,24
gini,20,2,2,,0.819672131147541,0.8055555555555556,0.8787878787878788,21,7,4,29
gini,20,2,2,balanced,0.819672131147541,0.8235294117647058,0.8484848484848485,22,6,5,28
gini,20,2,4,,0.7868852459016393,0.7777777777777778,0.8484848484848485,20,8,5,28
gini,20,2,4,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
gini,20,5,1,,0.6885245901639344,0.7058823529411765,0.7272727272727273,18,10,9,24
gini,20,5,1,balanced,0.639344262295082,0.6896551724137931,0.6060606060606061,19,9,13,20
gini,20,5,2,,0.8032786885245902,0.8,0.8484848484848485,21,7,5,28
gini,20,5,2,balanced,0.7704918032786885,0.8064516129032258,0.7575757575757576,22,6,8,25
gini,20,5,4,,0.7868852459016393,0.7777777777777778,0.8484848484848485,20,8,5,28
gini,20,5,4,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
gini,20,10,1,,0.7540983606557377,0.75,0.8181818181818182,19,9,6,27
gini,20,10,1,balanced,0.7213114754098361,0.7222222222222222,0.7878787878787878,18,10,7,26
gini,20,10,2,,0.7868852459016393,0.7941176470588235,0.8181818181818182,21,7,6,27
gini,20,10,2,balanced,0.7540983606557377,0.7647058823529411,0.7878787878787878,20,8,7,26
gini,20,10,4,,0.7704918032786885,0.7714285714285715,0.8181818181818182,20,8,6,27
gini,20,10,4,balanced,0.7868852459016393,0.7631578947368421,0.8787878787878788,19,9,4,29
entropy,,2,1,,0.7540983606557377,0.7647058823529411,0.7878787878787878,20,8,7,26
entropy,,2,1,balanced,0.7540983606557377,0.7647058823529411,0.7878787878787878,20,8,7,26
entropy,,2,2,,0.8360655737704918,0.8108108108108109,0.9090909090909091,21,7,3,30
entropy,,2,2,balanced,0.8360655737704918,0.8108108108108109,0.9090909090909091,21,7,3,30
entropy,,2,4,,0.8032786885245902,0.7837837837837838,0.8787878787878788,20,8,4,29
entropy,,2,4,balanced,0.7868852459016393,0.7631578947368421,0.8787878787878788,19,9,4,29
