Feature,Importance
age,0.06687223605621263
sex,0.03475784917586643
cp,0.187093973926204
trtbps,0.05473945888153799
chol,0.07748311154210011
fbs,0.006395995421154742
restecg,0.01722894750752759
thalachh,0.11428351051877128
exng,0.0628518722128906
oldpeak,0.11196075660681361
slp,0.061285141693402705
caa,0.08965541698392453
thall,0.11539172947359384
