Var Smoothing,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
1e-12,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
1e-11,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
1e-10,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
1e-09,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
1e-08,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
1e-07,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
1e-06,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
